field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
81,1255,1.90907142340626723e-01,1.90907142322591483e-01,-1.80352399681282805e-11
82,1256,1.89123901860265647e-01,1.89123901846824566e-01,-1.34410815810781514e-11
83,1257,1.87351668656371040e-01,1.87351668646276615e-01,-1.00944252956480796e-11
84,1258,1.85570444668755774e-01,1.85570444662253170e-01,-6.50260401080515749e-12
85,1259,1.83787271215677478e-01,1.83787271204451153e-01,-1.12263254248290423e-11
86,1260,1.82014391162004852e-01,1.82014391149254329e-01,-1.27505228597613041e-11
87,1261,1.80234867184115188e-01,1.80234867170808249e-01,-1.33069388841278169e-11
88,1262,1.78454397388912361e-01,1.78454397383640245e-01,-5.27211607703748086e-12
89,1263,1.76677567505857058e-01,1.76677567511123595e-01,5.26653720633873945e-12
90,1264,1.73125283644132238e-01,1.73125283651937495e-01,7.80525644117346928e-12
91,1265,1.71359491197139696e-01,1.71359491216912685e-01,1.97729888018471911e-11
92,1266,1.69582599726092242e-01,1.69582599745065593e-01,1.89733506683609221e-11
93,1267,1.67807482613512277e-01,1.67807482632715943e-01,1.92036664348194108e-11
94,1268,1.66045866280353949e-01,1.66045866309692897e-01,2.93389479377736961e-11
95,1269,1.64271444342198897e-01,1.64271444365662322e-01,2.34634256468524427e-11
96,1270,1.62498696701671136e-01,1.62498696718832020e-01,1.71608838250847384e-11
97,1271,1.60725156609488357e-01,1.60725156613795772e-01,4.30741553536506672e-12
98,1272,1.58958518223418221e-01,1.58958518232380497e-01,8.96227536628657617e-12
99,1273,1.57182621369256231e-01,1.57182621371016434e-01,1.76020309439195444e-12
100,1274,1.55411451652948396e-01,1.55411451653818145e-01,8.69748717491347634e-13
101,1275,1.53641620230026615e-01,1.53641620235836579e-01,5.80996362131713795e-12
102,1276,1.51871966408200443e-01,1.51871966406415926e-01,-1.78451697863124537e-12
103,1277,1.50096897744079638e-01,1.50096897744355473e-01,2.75834910468120142e-13
104,1278,1.48329371056153375e-01,1.48329371047241670e-01,-8.91170470751490029e-12
105,1279,1.46558893153476311e-01,1.46558893141838786e-01,-1.16375242775745846e-11
106,1280,1.44786555379391058e-01,1.44786555358215469e-01,-2.11755890600073826e-11
107,1281,1.43012369631956515e-01,1.43012369614296420e-01,-1.76600956081074401e-11
108,1282,1.41248379657924278e-01,1.41248379643149763e-01,-1.47745149448041957e-11
109,1283,1.39475975718935136e-01,1.39475975699685978e-01,-1.92491578232534266e-11
