node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
53,7.50000000000000000e-01,-5.75000000000000000e+00,2.35999999999999988e+00,3.14080781811655129e+02,3.14080781811941222e+02,2.86092927126446739e-10
54,7.50000000000000000e-01,-4.25000000000000000e+00,2.79999999999999982e+00,3.14488388974822158e+02,3.14488388975700161e+02,8.78003447724040598e-10
55,7.50000000000000000e-01,-4.25000000000000000e+00,2.35999999999999988e+00,3.14609587692225432e+02,3.14609587693269191e+02,1.04375885712215677e-09
56,-1.00000000000000000e+01,-1.00000000000000000e+01,2.79999999999999982e+00,3.02324331305451722e+02,3.02324331305328371e+02,-1.23350218927953392e-10
57,-1.00000000000000000e+01,1.00000000000000000e+01,2.79999999999999982e+00,3.02483479132339596e+02,3.02483479132349714e+02,1.01181285572238266e-11
58,1.00000000000000000e+01,-1.00000000000000000e+01,2.79999999999999982e+00,3.02336042301705675e+02,3.02336042301706073e+02,3.97903932025656104e-13
59,1.00000000000000000e+01,1.00000000000000000e+01,2.79999999999999982e+00,3.02478049675149407e+02,3.02478049675301691e+02,1.52283519128104672e-10
60,-1.00000000000000000e+01,-8.75000000000000000e+00,-2.00000000000000000e+00,3.00003766269060748e+02,3.00003766269060634e+02,-1.13686837721616030e-13
61,-1.00000000000000000e+01,-7.49999999999999911e+00,-2.00000000000000000e+00,3.00004581507843852e+02,3.00004581507843739e+02,-1.13686837721616030e-13
62,-1.00000000000000000e+01,-6.24999999999999911e+00,-2.00000000000000000e+00,3.00005533651890403e+02,3.00005533651889948e+02,-4.54747350886464119e-13
63,-1.00000000000000000e+01,-5.00000000000000000e+00,-2.00000000000000000e+00,3.00006176098914978e+02,3.00006176098914409e+02,-5.68434188608080149e-13
64,-1.00000000000000000e+01,-3.74999999999999956e+00,-2.00000000000000000e+00,3.00006773268662528e+02,3.00006773268662187e+02,-3.41060513164848089e-13
65,-1.00000000000000000e+01,-2.50000000000000000e+00,-2.00000000000000000e+00,3.00007014565320503e+02,3.00007014565319935e+02,-5.68434188608080149e-13
66,-1.00000000000000000e+01,-1.25000000000000000e+00,-2.00000000000000000e+00,3.00007154594377482e+02,3.00007154594377141e+02,-3.41060513164848089e-13
67,-1.00000000000000000e+01,0.00000000000000000e+00,-2.00000000000000000e+00,3.00007920753736244e+02,3.00007920753735789e+02,-4.54747350886464119e-13
68,-1.00000000000000000e+01,1.25000000000000000e+00,-2.00000000000000000e+00,3.00007786412097346e+02,3.00007786412096948e+02,-3.97903932025656104e-13
69,-1.00000000000000000e+01,2.50000000000000000e+00,-2.00000000000000000e+00,3.00007423494613533e+02,3.00007423494613079e+02,-4.54747350886464119e-13
70,-1.00000000000000000e+01,3.74999999999999956e+00,-2.00000000000000000e+00,3.00006922908600131e+02,3.00006922908598995e+02,-1.13686837721616030e-12
71,-1.00000000000000000e+01,5.00000000000000000e+00,-2.00000000000000000e+00,3.00006553128809230e+02,3.00006553128809287e+02,5.68434188608080149e-14
