node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
120,-8.75000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
121,-7.49999999999999911e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
122,-6.24999999999999911e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
123,-5.00000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
124,-3.74999999999999956e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
125,-2.50000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
126,-1.25000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
127,0.00000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
128,1.25000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
129,2.50000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
130,3.74999999999999956e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
131,5.00000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
132,6.24999999999999911e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
133,7.49999999999999911e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
134,8.75000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000114e+02,1.13686837721616030e-13
135,-8.75000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00033361527561169e+02,3.00033361527559521e+02,-1.64845914696343243e-12
136,-7.49999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00036542698882613e+02,3.00036542698880453e+02,-2.16004991671070457e-12
137,-6.24999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00041652487692147e+02,3.00041652487689873e+02,-2.27373675443232059e-12
138,-5.00000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00043474978646657e+02,3.00043474978645122e+02,-1.53477230924181640e-12
139,-3.74999999999999956e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00054143397594828e+02,3.00054143397593521e+02,-1.30739863379858434e-12
140,-2.50000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00054602310725897e+02,3.00054602310724420e+02,-1.47792889038100839e-12
141,-1.25000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00062377961541301e+02,3.00062377961540562e+02,-7.38964445190504193e-13
142,0.00000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00059046663624201e+02,3.00059046663623576e+02,-6.25277607468888164e-13
143,1.25000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00061744798573898e+02,3.00061744798573557e+02,-3.41060513164848089e-13
144,2.50000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00056123428392198e+02,3.00056123428391061e+02,-1.13686837721616030e-12
145,3.74999999999999956e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00054162171499513e+02,3.00054162171499343e+02,-1.70530256582424045e-13
146,5.00000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00044270594710383e+02,3.00044270594710554e+02,1.70530256582424045e-13
147,6.24999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00041368667485870e+02,3.00041368667485642e+02,-2.27373675443232059e-13
148,7.49999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00036226482725567e+02,3.00036226482726136e+02,5.68434188608080149e-13
149,8.75000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00033502988881082e+02,3.00033502988881196e+02,1.13686837721616030e-13
150,-8.75000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
151,-7.49999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
152,-6.24999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
153,-5.00000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
154,-3.74999999999999956e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
155,-2.50000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
156,-1.25000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
157,0.00000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
158,1.25000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
159,2.50000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
160,3.74999999999999956e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
161,5.00000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
162,6.24999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
163,7.49999999999999911e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
164,8.75000000000000000e+00,1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
165,-8.75000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00036376811379967e+02,3.00036376811380137e+02,1.70530256582424045e-13
166,-7.49999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00038489816253445e+02,3.00038489816254128e+02,6.82121026329696178e-13
167,-6.24999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00044177346761103e+02,3.00044177346762751e+02,1.64845914696343243e-12
168,-5.00000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00047612334410985e+02,3.00047612334412861e+02,1.87583282240666449e-12
169,-3.74999999999999956e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00059984201878137e+02,3.00059984201880752e+02,2.61479726759716868e-12
170,-2.50000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00066357445137271e+02,3.00066357445141477e+02,4.20641299569979310e-12
171,-1.25000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00068285646596735e+02,3.00068285646601396e+02,4.66116034658625722e-12
172,0.00000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00069743900101173e+02,3.00069743900105550e+02,4.37694325228221714e-12
173,1.25000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00069306559183588e+02,3.00069306559188760e+02,5.17275111633352935e-12
174,2.50000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00061557544331151e+02,3.00061557544334619e+02,3.46744855050928891e-12
175,3.74999999999999956e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00060273356566313e+02,3.00060273356569553e+02,3.24007487506605685e-12
176,5.00000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00049727539015862e+02,3.00049727539019216e+02,3.35376171278767288e-12
177,6.24999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00044414566408079e+02,3.00044414566410467e+02,2.38742359215393662e-12
178,7.49999999999999911e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00038129220752353e+02,3.00038129220754911e+02,2.55795384873636067e-12
179,8.75000000000000000e+00,1.00000000000000000e+01,-2.00000000000000000e+00,3.00035229587385459e+02,3.00035229587388073e+02,2.61479726759716868e-12
