cell_id,node_0,node_1,node_2,node_3,region_id,region_name
68,5962,4815,5653,4885,0,silica
69,5962,4815,5652,5653,0,silica
70,6062,5188,5050,5950,0,silica
71,6509,6510,6511,248,0,silica
72,6062,5950,6047,5188,0,silica
73,6436,6416,6512,6414,0,silica
74,6375,5050,5269,5188,0,silica
75,6442,6513,6514,6515,0,silica
76,5056,5290,6459,6516,0,silica
77,6517,6518,6519,6520,0,silica
78,6521,6522,3540,4180,0,silica
79,6523,5239,6524,39,0,silica
80,6476,6525,6526,6527,0,silica
81,6442,6444,6514,6513,0,silica
82,5188,6375,6047,6046,0,silica
83,6046,5248,5188,5269,0,silica
84,5964,6046,6045,5248,0,silica
85,6442,6514,6528,6515,0,silica
86,1643,5248,5640,5964,0,silica
87,1643,5248,4813,5640,0,silica
88,5640,4813,4815,5188,0,silica
89,6442,6529,6444,6443,0,silica
90,5640,4813,1642,4815,0,silica
91,5640,1642,5652,4815,0,silica
92,5640,5188,5248,4813,0,silica
93,5964,1644,1643,5248,0,silica
94,6530,6531,6532,6533,0,silica
95,1643,4812,1642,4813,0,silica
96,6534,4812,1643,4813,0,silica
97,6535,6536,6537,6538,0,silica
98,36,6539,39,6540,0,silica
99,6541,6542,6543,6544,0,silica
100,6545,6546,6547,6548,0,silica
101,6549,6541,6542,252,0,silica
102,6550,1643,6534,4812,0,silica
103,6551,4038,1549,3582,0,silica
104,6442,6529,6514,6444,0,silica
105,6425,6427,6552,6553,0,silica
106,6554,6555,6556,6557,0,silica
107,6425,6553,6552,6558,0,silica
108,4865,6537,4864,4883,0,silica
109,6425,6559,6560,6558,0,silica
110,5653,5605,5654,4817,0,silica
111,5653,4885,4815,4817,0,silica
112,5653,4815,5605,4817,0,silica
113,5653,5655,4885,4817,0,silica
114,5653,5654,5655,4817,0,silica
115,6561,4119,3656,3657,0,silica
116,6562,6563,6564,4254,0,silica
117,6565,39,6524,4872,0,silica
118,6062,5188,5289,5050,0,silica
