field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
168,1342,1.04886357532748525e-01,1.04886357392746932e-01,-1.40001593651462031e-10
169,1343,9.95895602673740193e-02,9.95895601271879344e-02,-1.40186084962579116e-10
170,1344,9.42702168698444920e-02,9.42702167085153614e-02,-1.61329130610177174e-10
171,1345,8.89709406825151816e-02,8.89709405589483165e-02,-1.23566865073421184e-10
172,1346,8.36549314420301782e-02,8.36549314003329353e-02,-4.16972428807227402e-11
173,1347,7.83433769288318788e-02,7.83433769111468309e-02,-1.76850478705858905e-11
174,1348,7.30321971518815283e-02,7.30321971422917132e-02,-9.58981505316813809e-12
175,1349,6.77171883462675400e-02,6.77171883881144132e-02,4.18468731888665957e-11
176,1350,6.24038633277404081e-02,6.24038634047307181e-02,7.69903099606672470e-11
177,1351,5.71035934023077715e-02,5.71035934625233541e-02,6.02155825202288497e-11
178,1352,5.17988729089685351e-02,5.17988728943520535e-02,-1.46164816361427086e-11
179,1353,4.64845732902355382e-02,4.64845731994495484e-02,-9.07859898369167695e-11
180,1354,4.12064604037726892e-02,4.12064603557140002e-02,-4.80586889728407129e-11
181,1355,3.59735924099512105e-02,3.59735924784261793e-02,6.84749687507313354e-11
182,1356,3.06726207302978858e-02,3.06726208800951125e-02,1.49797226706160913e-10
183,1357,2.54765455258404230e-02,2.54765456729823987e-02,1.47141975687103965e-10
184,1358,2.02998947271179724e-02,2.02998947915265619e-02,6.44085895729062941e-11
185,1359,1.52062039568923273e-02,1.52062039249566475e-02,-3.19356797950920424e-11
186,1360,1.02847247848106751e-02,1.02847247082809377e-02,-7.65297374083484527e-11
187,1361,5.61194078092870207e-03,5.61194071464817239e-03,-6.62805296758328666e-11
188,1362,1.60553799070440998e-03,1.60553795907537726e-03,-3.16290327262436222e-11
189,1363,5.19395254997912281e-01,5.19395255025052682e-01,2.71404010376841143e-11
190,1364,5.14073780714247364e-01,5.14073780772665745e-01,5.84183812435412619e-11
191,1365,5.08747737144980006e-01,5.08747737205292538e-01,6.03125327458542415e-11
192,1366,5.03446084504867830e-01,5.03446084561407381e-01,5.65395508189681095e-11
193,1367,4.98114826205138472e-01,4.98114826286798207e-01,8.16597345298930577e-11
