node_id,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
862,4.74999999999999911e+00,2.59252432436104696e+00,4.61845147792477917e+02,4.61845147792827049e+02,3.49132278643082827e-10
863,4.74999999999999911e+00,2.68127516175129710e+00,4.61514956170847370e+02,4.61514956171195536e+02,3.48165940522449091e-10
864,5.25000000000000000e+00,-1.44476539932623704e+00,3.16118374287840652e+02,3.16118374287904089e+02,6.34372554486617446e-11
865,5.25000000000000000e+00,-1.03065575207776106e+00,3.28356723460719138e+02,3.28356723460831688e+02,1.12549969344399869e-10
866,5.25000000000000000e+00,-7.27637708582846487e-01,3.37693643738819503e+02,3.37693643738971218e+02,1.51715084939496592e-10
867,5.25000000000000000e+00,-5.05805696639437197e-01,3.44816291744285877e+02,3.44816291744468970e+02,1.83092652150662616e-10
868,5.25000000000000000e+00,-3.43483071998003098e-01,3.50198438521584819e+02,3.50198438521792298e+02,2.07478478841949254e-10
869,5.25000000000000000e+00,-2.24687766350514212e-01,3.54249168202843407e+02,3.54249168203069416e+02,2.26009433390572667e-10
870,5.25000000000000000e+00,-1.37747786983805687e-01,3.57258077686697106e+02,3.57258077686937213e+02,2.40106601268053055e-10
871,5.25000000000000000e+00,-6.85333804337044938e-02,3.59678947659872790e+02,3.59678947660123526e+02,2.50736320595024154e-10
872,5.25000000000000000e+00,7.33333333331483983e-02,3.62294318077039861e+02,3.62294318077296964e+02,2.57102783507434651e-10
873,5.25000000000000000e+00,1.46666666666476403e-01,3.62332825921581275e+02,3.62332825921837809e+02,2.56534349318826571e-10
874,5.25000000000000000e+00,2.90312256478860109e-01,3.65267115785113106e+02,3.65267115785376404e+02,2.63298716163262725e-10
875,5.25000000000000000e+00,3.60625403891530971e-01,3.68110763260606973e+02,3.68110763260871749e+02,2.64776645053643733e-10
876,5.25000000000000000e+00,4.43738971041236496e-01,3.71511314286477443e+02,3.71511314286743016e+02,2.65572452917695045e-10
877,5.25000000000000000e+00,5.58229848891344194e-01,3.76252101235104533e+02,3.76252101235371299e+02,2.66766164713772014e-10
878,5.25000000000000000e+00,7.15943665219980319e-01,3.82902744950457986e+02,3.82902744950727026e+02,2.69039901468204334e-10
879,5.25000000000000000e+00,9.33205804857537569e-01,3.92354522312348820e+02,3.92354522312622919e+02,2.74098965746816248e-10
880,5.25000000000000000e+00,1.23078565731116107e+00,4.06153433113201288e+02,4.06153433113485335e+02,2.84046564047457650e-10
881,5.25000000000000000e+00,1.50745476682354407e+00,4.20238362981147418e+02,4.20238362981445277e+02,2.97859514830633998e-10
882,5.25000000000000000e+00,1.70828700473330297e+00,4.31407502328062549e+02,4.31407502328372573e+02,3.10024006466846913e-10
883,5.25000000000000000e+00,1.85407924376148703e+00,4.40058503962077168e+02,4.40058503962396969e+02,3.19801074510905892e-10
884,5.25000000000000000e+00,1.95991576127837774e+00,4.46622502029349675e+02,4.46622502029677094e+02,3.27418092638254166e-10
885,5.25000000000000000e+00,2.03674678436114887e+00,4.51551317174231031e+02,4.51551317174564645e+02,3.33614025294082239e-10
886,5.25000000000000000e+00,2.09812542210288822e+00,4.55580050186002325e+02,4.55580050186340884e+02,3.38559402734972537e-10
887,5.25000000000000000e+00,2.15906271105148795e+00,4.59653820694384081e+02,4.59653820694727813e+02,3.43732153851306066e-10
888,5.25000000000000000e+00,2.26666666666666705e+00,4.63926267739564992e+02,4.63926267739913783e+02,3.48791218129917979e-10
889,5.25000000000000000e+00,2.31333333333315982e+00,4.63993957572941042e+02,4.63993957573290118e+02,3.49075435224222019e-10
890,5.25000000000000000e+00,2.41536059317736518e+00,4.63482472676438192e+02,4.63482472676786756e+02,3.48563844454474747e-10
891,5.25000000000000000e+00,2.47072118635578875e+00,4.63023404400847028e+02,4.63023404401195194e+02,3.48165940522449091e-10
892,5.25000000000000000e+00,2.52618008802006688e+00,4.62628661826877874e+02,4.62628661827225699e+02,3.47824880009284243e-10
893,5.25000000000000000e+00,2.59252432436104696e+00,4.62256995027140363e+02,4.62256995027487392e+02,3.47029072145232931e-10
894,5.25000000000000000e+00,2.68127516175129710e+00,4.61940542305240967e+02,4.61940542305587087e+02,3.46119577443460003e-10
895,5.34999999999999964e+00,-1.44476539932623704e+00,3.16114650162271630e+02,3.16114650162335124e+02,6.34940988675225526e-11
896,5.34999999999999964e+00,-1.03065575207776106e+00,3.28347349307991010e+02,3.28347349308103617e+02,1.12606812763260677e-10
897,5.34999999999999964e+00,-7.27637708582846487e-01,3.37677742817703233e+02,3.37677742817855346e+02,1.52112988871522248e-10
898,5.34999999999999964e+00,-5.05805696639437197e-01,3.44788870471190307e+02,3.44788870471374082e+02,1.83774773176992312e-10
899,5.34999999999999964e+00,-3.43483071998003098e-01,3.50169310403507325e+02,3.50169310403716395e+02,2.09070094570051879e-10
